,area_name,district_name,name,result_protiv,result_unom_type,result_yavka,result_za,status,updated_at
0,Можайский,ЗАО,"улица Кубинка, дом 12, корпус 3",26.0,1,44.0,74.0,in_list,06.06
1,Можайский,ЗАО,"улица Кубинка, дом 18, корпус 5",26.0,1,49.0,74.0,in_list,06.06
2,Западное Дегунино,САО,"Ангарская улица, дом 2, корпус 1",2.0,1,53.0,98.0,in_list,06.06
3,Западное Дегунино,САО,"Ангарская улица, дом 21",0.0,1,43.0,100.0,in_list,06.06
4,Можайский,ЗАО,"улица Кубинка, дом 13",4.0,1,68.0,96.0,in_list,06.06
5,Западное Дегунино,САО,"Ангарская улица, дом 25",5.0,1,64.0,95.0,in_list,06.06
6,Западное Дегунино,САО,"Ангарская улица, дом 27",12.0,1,60.0,88.0,in_list,06.06
7,Западное Дегунино,САО,"Ангарская улица, дом 27А",0.0,1,64.0,100.0,in_list,06.06
8,Западное Дегунино,САО,"Ангарская улица, дом 29",9.0,1,55.0,91.0,in_list,06.06
9,Западное Дегунино,САО,"Ангарская улица, дом 31",5.0,1,50.0,95.0,in_list,06.06
10,Западное Дегунино,САО,"Ангарская улица, дом 33",0.0,1,64.0,100.0,in_list,06.06
11,Западное Дегунино,САО,"Ангарская улица, дом 7, корпус 1",0.0,1,53.0,100.0,in_list,06.06
12,Западное Дегунино,САО,"Ангарская улица, дом 7, корпус 2",10.0,1,66.0,90.0,in_list,06.06
13,Люблино,ЮВАО,"Армавирская улица, дом 23/18",11.0,1,61.0,89.0,in_list,06.06
14,Люблино,ЮВАО,"Армавирская улица, дом 27/23",8.0,1,75.0,92.0,in_list,06.06
15,Фили-Давыдково,ЗАО,"улица Артамонова, дом 1",18.0,1,45.0,82.0,in_list,06.06
16,Можайский,ЗАО,"улица Гришина, дом 23, корпус 4",12.0,1,50.0,88.0,in_list,06.06
17,Фили-Давыдково,ЗАО,"улица Артамонова, дом 12, корпус 1",21.0,1,54.0,79.0,in_list,06.06
18,Фили-Давыдково,ЗАО,"улица Артамонова, дом 13, корпус 1",53.0,1,71.0,47.0,in_list,06.06
19,Фили-Давыдково,ЗАО,"улица Артамонова, дом 13, корпус 2",18.0,1,49.0,82.0,in_list,06.06
20,Фили-Давыдково,ЗАО,"улица Артамонова, дом 13",10.0,1,48.0,90.0,in_list,06.06
21,Фили-Давыдково,ЗАО,"улица Артамонова, дом 14, корпус 1",20.0,1,38.0,80.0,in_list,06.06
22,Фили-Давыдково,ЗАО,"улица Артамонова, дом 18, корпус 1",19.0,1,65.0,81.0,in_list,06.06
23,Фили-Давыдково,ЗАО,"улица Артамонова, дом 3",12.0,1,53.0,88.0,in_list,06.06
24,Лосиноостровский,СВАО,"улица Лётчика Бабушкина, дом 36",11.0,1,62.0,89.0,in_list,06.06
25,Фили-Давыдково,ЗАО,"улица Артамонова, дом 4, корпус 2",10.0,1,33.0,90.0,in_list,06.06
26,Фили-Давыдково,ЗАО,"улица Артамонова, дом 5",14.0,1,44.0,86.0,in_list,06.06
27,Фили-Давыдково,ЗАО,"улица Артамонова, дом 7, корпус 1",35.0,1,54.0,65.0,in_list,06.06
28,Фили-Давыдково,ЗАО,"улица Артамонова, дом 8, корпус 1",0.0,1,27.0,100.0,in_list,06.06
29,Фили-Давыдково,ЗАО,"улица Артамонова, дом 8, корпус 2",0.0,1,40.0,100.0,in_list,06.06
30,Фили-Давыдково,ЗАО,"улица Артамонова, дом 9, корпус 1",8.0,1,42.0,92.0,in_list,06.06
31,Фили-Давыдково,ЗАО,"улица Артамонова, дом 9, корпус 2",47.0,1,53.0,53.0,in_list,06.06
32,Нагорный,ЮАО,"Артековская улица, дом 7, корпус 2",2.0,1,61.0,98.0,in_list,06.06
33,Бабушкинский,СВАО,"Анадырский проезд, дом 7",11.0,1,56.0,89.0,in_list,06.06
34,Бабушкинский,СВАО,"Анадырский проезд, дом 9",7.0,1,54.0,93.0,in_list,06.06
35,Нагорный,ЮАО,"Артековская улица, дом 7, корпус 3",4.0,1,66.0,96.0,in_list,06.06
36,Нагорный,ЮАО,"Артековская улица, дом 7, корпус 4",5.0,1,69.0,95.0,in_list,06.06
37,Нагорный,ЮАО,"Артековская улица, дом 7, корпус 5",2.0,1,65.0,98.0,in_list,06.06
